date,x1,x2,x3,x4,x5,mega,mult
180105,28,30,39,59,70,10,3
180102,1,42,47,64,70,22,4
171229,4,10,18,28,62,7,2
171226,10,12,20,38,41,25,4
171222,1,20,30,33,42,16,4
171219,28,37,39,42,58,2,3
171215,4,12,36,44,57,19,4
171212,8,23,24,25,27,9,2
171208,6,37,46,60,70,24,2
171205,14,15,37,42,67,22,4
171201,16,22,40,41,59,8,4
171128,10,17,47,51,61,5,2
171124,16,36,54,61,64,22,3
171121,3,7,22,27,50,3,3
171117,3,26,55,58,70,15,4
171114,1,14,21,22,28,19,3
171110,6,23,38,42,58,24,2
171107,1,54,60,68,69,11,4
171103,10,22,42,61,69,3,2
171031,6,28,31,52,53,12,4
171027,17,27,41,51,52,13,5
171024,20,24,34,56,64,6,4
171020,6,23,63,66,73,9,2
171017,31,45,49,56,70,11,5
171013,2,7,18,26,31,12,2
171010,7,16,24,61,62,2,5
171006,21,33,36,45,56,12,5
171003,12,18,19,25,67,7,5
170929,25,51,62,73,74,7,5
170926,1,10,57,66,75,4,4
170922,5,39,54,63,66,15,5
170919,9,28,31,50,61,10,2
170915,18,24,34,38,58,3,4
170912,26,37,41,54,65,3,4
170908,4,5,14,26,73,14,3
170905,11,17,59,70,72,1,3
170901,4,13,31,50,64,12,5
170829,2,13,17,35,73,3,3
170825,17,38,42,51,65,11,5
170822,24,35,46,50,51,7,4
170818,1,31,34,40,75,6,3
170815,7,16,20,66,73,7,2
170811,23,33,53,56,58,6,5
170808,11,17,50,52,74,14,2
170804,9,17,25,63,71,4,5
170801,20,22,52,57,73,7,5
170728,4,6,31,49,52,11,3
170725,2,5,26,58,60,6,3
170721,18,31,36,50,74,10,4
170718,8,12,23,51,73,6,4
170714,11,12,24,32,73,1,4
170711,7,18,24,55,74,10,2
170707,2,9,11,28,60,10,5
170704,16,39,47,53,71,15,4
170630,10,38,51,55,64,6,5
170627,4,21,45,52,57,14,4
170623,12,20,53,66,74,11,2
170620,2,15,41,49,63,3,3
170616,18,22,26,30,44,9,5
170613,27,51,62,68,75,8,3
170609,3,16,28,33,37,9,5
170606,3,5,16,49,75,5,3
170602,7,42,57,69,72,10,3
170530,5,20,32,37,67,5,5
170526,25,26,28,37,56,5,3
170523,6,13,17,33,60,14,2
170519,1,4,5,24,30,1,3
170516,4,35,39,56,72,11,5
170512,28,34,41,42,47,13,4
170509,6,29,45,69,73,11,5
170505,4,23,33,47,53,7,4
170502,5,14,42,43,58,1,4
170428,6,13,18,20,31,13,4
170425,3,13,33,40,50,2,4
170421,1,12,13,32,34,10,2
170418,8,29,30,43,64,6,3
170414,5,10,55,60,73,12,5
170411,19,34,35,38,49,8,5
170407,30,33,43,47,69,15,5
170404,13,24,34,35,55,9,5
170331,17,24,27,32,58,10,3
170328,30,33,35,37,46,10,5
170324,5,28,37,61,69,1,5
170321,4,45,53,73,75,7,3
170317,11,27,31,58,60,10,4
170314,16,23,28,33,59,13,3
170310,26,38,42,58,70,5,5
170307,3,30,45,53,68,11,3
170303,14,26,39,48,51,9,5
170228,20,33,45,58,69,4,2
170224,12,29,33,42,68,14,3
170221,9,21,30,32,75,9,5
170217,4,56,58,67,75,8,5
170214,7,11,33,60,68,15,5
170210,32,39,51,62,75,14,5
170207,23,28,37,56,71,12,5
170203,3,6,29,30,64,3,5
170131,3,14,27,62,72,4,3
170127,17,37,53,54,61,8,3
170124,8,42,54,63,67,11,4
170120,7,9,24,41,53,14,3
170117,20,31,54,56,59,3,5
170113,10,44,58,74,75,11,3
170110,11,20,40,41,59,15,5
170106,6,10,44,47,54,6,5
170103,14,16,23,49,53,12,2
161230,6,21,33,39,43,2,2
161227,2,28,30,38,39,11,4
161223,21,30,39,60,69,15,5
161220,1,12,14,48,65,2,5
161216,1,8,15,36,43,6,5
161213,2,15,26,34,41,14,5
161209,19,27,47,67,68,1,5
161206,13,34,48,53,63,12,4
161202,3,33,35,49,51,1,2
161129,22,33,49,51,59,8,4
161125,44,47,49,69,75,10,3
161122,1,43,45,66,69,7,5
161118,31,32,49,55,58,15,5
161115,9,17,23,57,71,6,3
161111,16,40,47,53,59,11,5
161108,46,48,53,61,74,12,4
161104,10,29,32,44,46,10,3
161101,19,24,31,39,45,13,2
161028,7,38,46,57,66,2,5
161025,8,9,24,49,67,13,3
161021,12,43,44,48,66,3,4
161018,7,24,28,65,74,1,2
161014,7,27,60,64,74,5,3
161011,36,39,42,45,48,3,2
161007,24,37,42,50,65,14,2
161004,18,29,30,54,66,1,5
160930,21,30,47,50,57,9,5
160927,14,16,26,53,72,4,4
160923,1,5,8,25,62,14,3
160920,2,22,34,62,72,2,5
160916,13,21,28,34,40,15,3
160913,6,15,17,39,56,15,3
160909,1,34,43,44,63,11,4
160906,25,37,58,69,75,8,3
160902,22,28,41,46,60,3,3
160830,28,32,41,51,71,11,4
160826,10,11,31,41,44,14,2
160823,2,7,46,61,66,1,2
160819,22,37,45,65,73,13,5
160816,2,43,52,62,63,6,5
160812,4,41,44,56,69,10,4
160809,12,19,20,44,66,1,5
160805,5,18,28,54,74,6,4
160802,3,12,36,54,70,12,5
160729,11,16,19,31,48,4,5
160726,1,4,31,36,54,9,3
160722,8,24,25,26,30,7,4
160719,3,34,54,65,66,4,5
160715,16,51,52,56,58,4,2
160712,6,8,22,46,68,4,4
160708,8,19,20,55,73,5,2
160705,29,46,53,64,73,10,5
160701,20,41,42,45,49,14,2
160628,15,17,20,35,55,7,2
160624,11,14,54,57,63,11,5
160621,6,13,21,49,50,10,5
160617,20,23,30,44,59,9,5
160614,36,37,38,52,62,6,5
160610,34,61,66,67,68,7,5
160607,25,48,51,65,72,4,4
160603,32,54,65,66,71,10,3
160531,9,31,34,41,49,8,5
160527,18,41,50,68,70,9,3
160524,11,50,51,70,75,15,4
160520,19,24,26,40,68,8,2
160517,17,24,27,48,75,6,3
160513,20,21,38,54,66,7,4
160510,12,22,46,56,74,4,3
160506,14,26,27,32,36,7,4
160503,28,29,33,36,45,15,5
160429,5,6,37,55,74,10,5
160426,14,16,17,28,48,2,2
160422,2,19,21,42,60,13,5
160419,9,28,40,57,65,2,5
160415,9,10,34,37,73,9,5
160412,7,11,59,62,63,3,5
160408,31,38,52,65,71,15,3
160405,13,45,52,53,57,10,5
160401,25,28,33,41,69,6,2
160329,33,38,40,46,49,15,5
160325,4,11,12,35,46,12,2
160322,6,19,34,38,70,5,5
160318,5,8,57,59,73,13,5
160315,18,26,30,44,68,7,4
160311,14,18,48,54,71,13,4
160308,27,37,54,66,69,5,5
160304,21,26,33,48,73,14,4
160301,1,29,33,34,55,6,5
160226,3,15,19,62,74,14,4
160223,16,32,39,53,57,10,5
160219,2,27,41,50,75,4,4
160216,9,31,33,46,64,4,3
160212,1,7,44,68,73,1,3
160209,3,42,46,56,71,13,4
160205,4,6,23,55,75,2,3
160202,7,13,25,51,70,9,4
160129,20,28,49,51,52,6,2
160126,14,27,39,50,69,2,2
160122,21,25,40,46,56,3,5
160119,2,17,31,39,47,9,2
160115,29,41,53,54,70,12,2
160112,15,27,29,31,48,15,4
160108,11,39,51,57,75,2,5
160105,1,4,36,48,57,13,5
160101,7,18,37,38,39,9,5
151229,20,25,55,62,74,7,3
151225,15,25,29,44,51,4,4
151222,11,21,40,50,70,15,3
151218,6,23,24,28,62,7,5
151215,18,25,47,51,61,5,5
151211,14,20,43,54,69,5,4
151208,7,17,37,49,73,15,3
151204,26,42,47,61,73,6,5
151201,5,7,25,50,59,12,2
151127,16,20,39,56,59,12,3
151124,2,19,30,38,70,8,4
151120,9,12,29,37,67,15,2
151117,12,14,18,24,61,10,3
151113,17,18,31,35,59,9,5
151110,8,17,20,45,71,4,4
151106,10,31,35,50,72,8,3
151103,16,29,44,69,74,12,5
151030,17,41,51,53,56,15,5
151027,9,26,27,29,74,4,3
151023,25,32,37,45,70,1,5
151020,6,25,35,38,52,4,4
151016,2,38,48,61,68,4,3
151013,7,9,24,38,52,1,5
151009,8,9,21,63,75,14,4
151006,17,58,63,64,66,13,3
151002,4,14,29,31,47,9,2
150929,8,21,30,61,62,9,3
150925,3,8,38,51,64,4,5
150922,28,30,38,45,51,8,5
150918,17,34,35,51,65,7,3
150915,7,20,35,49,56,9,4
150911,5,11,31,50,67,14,2
150908,19,20,36,41,46,7,3
150904,17,21,39,52,57,5,5
150901,2,5,35,40,54,13,5
150828,13,35,40,60,68,9,4
150825,5,44,54,59,63,1,5
150821,13,15,21,41,72,1,5
150818,2,7,33,39,53,9,3
150814,12,15,20,52,71,3,4
150811,3,8,29,57,68,8,4
150807,1,38,53,63,66,10,3
150804,2,19,44,51,57,14,2
150731,28,32,33,40,46,10,4
150728,8,35,61,68,75,15,5
150724,10,12,26,60,62,13,5
150721,20,30,62,65,74,1,5
150717,6,17,30,31,41,15,3
150714,19,24,30,35,72,5,3
150710,24,27,45,51,54,8,3
